ID,NAME,GENDER,AGE,MARITAL_STATUS,EDUCATION,EMPLOYMENT_YEARS,ANNUAL_INCOME,CREDIT_LIMIT,CURRENT_BALANCE,UTILIZATION,DEFAULT_NEXT_MONTH
1,Alice Johnson,F,34,Married,Bachelor,6,55000,15000,2000,0.133333333333333,0
2,Bob ONeil,M,45,Married,Master,20,120000,40000,12000,0.3,0
3,"Chrlie ",M,29,Single,Bachelor,3,42000,10000,5000,0.5,1
4,Diana,F,27,Single,High School,1,18000,3000,2500,0.833333333333333,1
5,"Ethan ",M,52,Married,PhD,30,250000,150000,50000,0.333333333333333,0
7,George,M,19,Single,Bachelor,0,12000,2000,1800,0.9,1
8,HannahL,F,38,Divorced,Master,12,95000,35000,30000,0.857142857142857,0
9,Ivan,M,65,Widowed,Bachelor,40,60000,20000,15000,0.75,0
11,Kevin,M,28,Single,Bachelor,4,42000,10000,1000,0.1,0
12,Liam,M,31,Married,Bachelor,6,48000,12000,6000,0.5,0
13,Mia,F,22,Single,Diploma,2,20000,4000,2500,0.625,1
15,Olivia,F,41,Married,Master,15,110000,40000,15000,0.375,0
17,Quincy,M,44,Divorced,Bachelor,18,90000,25000,23000,0.92,1
18,Rachel,F,30,Single,Master,7,65000,22000,21000,0.954545454545455,0
19,Sam,M,27,Single,Bachelor,3,36000,8000,7000,0.875,1
20,Tina,F,33,Single,Bachelor,5,47000,11000,10500,0.954545454545455,0
21,Uma,F,29,Married,Master,5,52000,13000,11000,0.846153846153846,0
22,Victor,M,38,Married,Bachelor,12,88000,28000,5000,0.178571428571429,0
23,Wendy,F,26,Single,Bachelor,2,32000,7000,6500,0.928571428571429,1
25,Yara,F,47,Married,Bachelor,20,125000,60000,30000,0.5,0
26,Zack,M,23,Single,Bachelor,1,28000,6000,1000,0.166666666666667,0
